,PDBID,pK
174,1z3t,3.94
175,1mrs,3.96
176,1x9d,3.96
177,2fpz,3.96
178,1v11,3.98
179,2g8r,3.99
180,1lgw,4.0
181,1nu3,4.0
182,1tni,4.0
183,1wc1,4.0
184,1c5z,4.01
185,1v2w,4.01
186,1hi5,4.04
187,1li2,4.04
188,2c02,4.04
189,1awi,4.05
190,1r4w,4.05
191,1toi,4.05
192,1tuf,4.05
193,1gj4,4.07
194,1hyo,4.07
195,1n2v,4.08
196,1y2g,4.08
197,1ai7,4.09
198,1jn2,4.09
199,1o0n,4.09
200,1c5t,4.1
201,1odj,4.1
202,1rzx,4.1
203,1p19,4.11
204,1z3v,4.11
205,1v2q,4.13
206,1gny,4.14
207,1m2x,4.15
208,1q91,4.15
209,2toh,4.15
210,1v2s,4.17
211,1hi3,4.19
212,1c5y,4.2
213,1c87,4.2
214,1ghw,4.2
215,1ulg,4.21
216,1kv5,4.22
217,1pzi,4.22
218,1t5f,4.22
219,1ua4,4.22
220,1li3,4.25
221,1m5w,4.27
222,1e2l,4.29
223,1v2l,4.29
224,1a30,4.3
225,1det,4.3
226,1z95,4.3
227,1ajq,4.31
228,1rgk,4.31
229,2tpi,4.31
230,4rsk,4.32
231,1olx,4.33
232,1e3v,4.34
233,1z6s,4.34
234,1ghv,4.35
235,1yfz,4.35
236,1dy4,4.36
237,1we2,4.36
238,2ez7,4.36
239,1bhf,4.38
240,2avq,4.39
241,1no6,4.41
242,1olu,4.41
243,2csn,4.41
244,1rgl,4.43
245,2amt,4.44
246,1wvc,4.46
247,1jaq,4.48
248,1qan,4.48
249,1hi4,4.49
250,1j14,4.49
251,1o7o,4.49
252,1gi7,4.51
253,1ctt,4.52
254,1gu1,4.52
255,1mrn,4.52
256,1z4n,4.52
257,1z4o,4.52
258,2a4m,4.52
259,1amw,4.54
260,1b2h,4.54
261,1lyx,4.54
262,1oko,4.54
263,1szd,4.54
264,1utc,4.55
265,1w2g,4.57
266,1bma,4.59
267,1fj4,4.59
268,1l2s,4.59
269,1pa9,4.6
270,1tx7,4.6
271,1u33,4.6
272,1upf,4.6
273,2bo4,4.61
274,1f4f,4.62
275,1joc,4.62
276,1ofz,4.62
277,2a5c,4.62
278,2f6t,4.62
279,1bzj,4.66
280,1h4w,4.66
281,1m1b,4.66
282,2ca8,4.66
283,1c5p,4.68
284,1xge,4.68
285,1c5n,4.7
286,1c86,4.7
287,2cex,4.7
288,2dw7,4.7
289,3kiv,4.7
290,1v2t,4.71
291,1v2o,4.73
292,1ce5,4.74
293,1sv3,4.74
294,1w4p,4.74
295,1q8t,4.76
296,1str,4.77
297,2afw,4.77
298,2b4l,4.77
299,2dua,4.77
300,1oss,4.79
301,1ghz,4.8
302,1aid,4.82
303,1dud,4.82
304,1v1j,4.82
305,1xff,4.82
306,1y3p,4.82
307,2gl0,4.82
308,2gzl,4.82
309,2ypi,4.82
310,1c83,4.85
311,1ecv,4.85
312,1n51,4.85
313,1qji,4.85
314,1vkj,4.85
315,1xgi,4.85
316,2qwd,4.85
317,2brb,4.86
318,1p1q,4.89
319,2aoc,4.89
320,2j77,4.89
321,1bzc,4.92
322,1e1v,4.92
323,1h1p,4.92
324,1jqy,4.92
325,1y2f,4.92
326,1e2k,4.94
327,2gss,4.94
328,4ts1,4.94
329,1jn4,4.95
330,1cea,4.96
331,1elr,4.96
332,1tsy,4.96
333,1uz8,4.96
334,1byk,5.0
335,1c84,5.0
336,1f8a,5.0
337,1hlk,5.0
338,1nc3,5.0
339,1oai,5.0
340,1sts,5.0
341,1yid,5.0
342,1ppi,5.01
343,2d0k,5.02
344,1mfa,5.04
345,1fkw,5.05
346,1gi8,5.05
347,1qxk,5.05
348,2c3l,5.07
349,1m48,5.09
350,1nw7,5.09
351,1ez9,5.1
352,1kmy,5.1
353,1m6p,5.1
354,1o0o,5.1
355,1od8,5.1
356,1onz,5.1
357,1v0k,5.1
358,1w7g,5.1
359,2h5a,5.1
360,1k4h,5.11
361,2h6q,5.11
362,1qaw,5.12
363,1uv6,5.12
364,1gcz,5.13
365,2br1,5.14
366,1jcx,5.15
367,1o0m,5.15
368,1pb8,5.15
369,1s38,5.15
370,1thz,5.15
371,2afx,5.15
372,1jqd,5.16
373,2f5t,5.17
374,1ocq,5.19
375,1ogg,5.19
376,1rnt,5.19
377,1kll,5.2
378,1nw5,5.21
379,1bq4,5.22
380,1gi9,5.22
381,1gjd,5.22
382,1h1h,5.22
383,1j17,5.22
384,1ucn,5.22
385,1w4o,5.22
386,2hxm,5.22
387,1b4z,5.23
388,1ndw,5.23
389,1fh7,5.24
390,1q8w,5.24
391,2bfr,5.25
392,1w4q,5.26
393,1qca,5.27
394,1b46,5.28
395,1f5l,5.28
396,1c88,5.29
397,1a69,5.3
398,1h6h,5.3
399,1o0f,5.3
400,1pr1,5.3
401,1srg,5.3
402,1vyq,5.3
403,1xbb,5.3
404,1hk4,5.31
405,1mfd,5.31
406,1y20,5.32
407,2c80,5.33
408,1zgi,5.34
409,2fxv,5.35
410,1adl,5.36
411,1w6y,5.36
412,1gpk,5.37
413,1sgu,5.37
414,1g3e,5.38
415,1qbv,5.39
416,2h6b,5.39
417,1bp0,5.4
418,1m7i,5.4
419,1mmr,5.4
420,1pz5,5.4
421,1r9l,5.4
422,1trd,5.4
423,2c1p,5.4
424,2f35,5.4
425,2i80,5.4
426,3pch,5.4
427,2j47,5.41
428,1abf,5.42
429,1gja,5.42
430,1h9z,5.42
431,1p28,5.42
432,1h0a,5.44
433,1syi,5.44
434,2iko,5.45
435,1b4h,5.46
436,1q65,5.46
437,1g7f,5.47
438,1gi1,5.47
439,1o2s,5.47
440,2hf8,5.47
441,1g85,5.48
442,2cbv,5.48
443,1pot,5.49
444,1pyn,5.49
445,1tys,5.49
446,2h4k,5.49
447,1a8i,5.52
448,1kc7,5.52
449,1lox,5.52
450,1oe8,5.52
451,1ydr,5.52
452,2cht,5.52
453,1ha2,5.54
454,2olb,5.54
455,1g3d,5.55
456,1njc,5.55
457,1y3n,5.55
458,2iuz,5.55
459,1jak,5.57
460,1njd,5.57
461,1f4x,5.59
462,1fo0,5.59
463,1mfi,5.59
464,1o9d,5.6
465,1vfn,5.6
466,1a08,5.62
467,1ejn,5.62
468,2bmk,5.62
469,1vwl,5.63
470,1f57,5.64
471,1lrt,5.64
472,1z9g,5.64
473,1n5r,5.66
474,1nhu,5.66
475,2aod,5.66
476,2bsu,5.66
477,2erz,5.66
478,2qwf,5.67
479,1gnn,5.68
480,1ow4,5.68
481,2c92,5.68
482,2cbu,5.68
483,1a99,5.7
484,1egh,5.7
485,1g98,5.7
486,1g9r,5.7
487,1n1m,5.7
488,1pgp,5.7
489,2adm,5.7
490,2avm,5.7
491,2f2h,5.7
492,2h3e,5.7
493,1obx,5.72
494,1g3b,5.74
495,1o33,5.74
496,1qy2,5.74
497,1zdp,5.74
498,2b1v,5.74
499,2flb,5.74
500,1p1o,5.76
501,1jmf,5.77
502,1q66,5.77
503,1ur9,5.77
504,1vjj,5.77
505,2boj,5.77
506,1hmt,5.79
507,1g3c,5.8
508,1kpm,5.8
509,1ppm,5.8
510,1rle,5.8
511,1sgx,5.8
512,1lkl,5.81
513,11gs,5.82
514,1apb,5.82
515,1kav,5.82
516,1ols,5.82
517,1urg,5.82
518,1vwn,5.82
519,3gss,5.82
520,1k4g,5.85
521,1o2w,5.85
522,1o2x,5.85
523,1q54,5.85
524,1q63,5.85
525,1qbn,5.85
526,1u1w,5.85
527,1b3l,5.89
528,1e1x,5.89
529,1ydk,5.89
530,2brm,5.89
531,2tmn,5.89
532,1v2n,5.9
533,1ugx,5.91
534,1a4w,5.92
535,1aj6,5.92
536,1jao,5.92
537,1kyv,5.92
538,1ndv,5.92
539,1o0h,5.92
540,1pph,5.92
541,1qf2,5.92
542,1qka,5.92
543,1yds,5.92
544,2ans,5.92
545,1fv0,5.93
546,1kv1,5.94
547,1b9j,5.96
548,1d6w,5.96
549,1nl9,5.96
550,1o36,5.96
551,1q8u,5.96
552,2j79,5.96
553,1uwt,5.97
554,1uwu,5.98
555,1a1e,6.0
556,1ado,6.0
557,1c5s,6.0
558,1ceb,6.0
559,1d2e,6.0
560,1f0t,6.0
561,1gt1,6.0
562,1hn2,6.0
563,1jq8,6.0
564,1ssq,6.0
565,1xgj,6.0
566,1xk5,6.0
567,2bvd,6.0
568,2izl,6.0
569,1b5h,6.01
570,1tcw,6.02
571,5er1,6.02
572,1n8v,6.03
573,1okl,6.03
574,1os0,6.03
575,1sh9,6.03
576,1t7d,6.03
577,1xbo,6.04
578,3pcf,6.05
579,1g7q,6.06
580,1jmi,6.06
581,1kjr,6.06
582,1qb6,6.06
583,1jmg,6.07
584,1mmp,6.07
585,2gst,6.07
586,1sri,6.08
587,1o2n,6.09
588,1ogx,6.09
589,1dzk,6.1
590,1lgt,6.1
591,1m2q,6.1
592,1meu,6.1
593,2ewb,6.1
594,1g32,6.11
595,1m2p,6.11
596,1o2z,6.11
597,1nc1,6.12
598,1o2g,6.12
599,1x8r,6.12
600,2fgv,6.12
601,2c97,6.14
602,2fqt,6.14
603,1tsl,6.15
604,1zs0,6.15
605,1ppc,6.16
606,1d6v,6.17
607,1ndy,6.17
608,1sle,6.17
609,1yc1,6.17
610,1xhy,6.18
611,2c3j,6.18
612,1iy7,6.19
613,1tq4,6.19
614,1v2k,6.19
615,2bt9,6.19
616,1owe,6.2
617,1sqt,6.2
618,2aj8,6.2
619,1b3h,6.21
620,1gi6,6.22
621,1m7d,6.23
622,1hnn,6.24
623,2fai,6.24
624,1gnm,6.25
625,1zky,6.25
626,1wcq,6.26
627,1pbq,6.27
628,1afl,6.28
629,1atl,6.28
630,1w3l,6.28
631,2aog,6.28
632,1d4p,6.3
633,1lag,6.3
634,1wdn,6.3
635,1wm1,6.3
636,1nja,6.31
637,1syh,6.31
638,2bal,6.31
639,1w3j,6.32
640,1ex8,6.33
641,1bdq,6.34
642,1i00,6.34
643,1xq0,6.34
644,1cbx,6.35
645,1gjb,6.35
646,1gjc,6.35
647,2j7f,6.35
648,1c5q,6.36
649,1ela,6.36
650,1o2o,6.36
651,6abp,6.36
652,1hbv,6.37
653,1hms,6.37
654,5tln,6.37
655,1lol,6.39
656,10gs,6.4
657,1a1b,6.4
658,1a1c,6.4
659,1g7v,6.4
660,1i7z,6.4
661,1igb,6.4
662,1yvm,6.4
663,1i80,6.41
664,1w0y,6.42
665,2j78,6.42
666,1fh9,6.43
667,2b07,6.43
668,2bzz,6.43
669,2fqo,6.43
670,2ivu,6.43
671,1jqe,6.44
672,1m2r,6.46
673,1r5y,6.46
674,1ro6,6.46
675,7abp,6.46
676,1j01,6.47
677,1f4g,6.48
678,1gpn,6.48
679,1rpj,6.48
680,1dl7,6.49
681,2usn,6.51
682,1alw,6.52
683,1ct8,6.52
684,1k9s,6.52
685,1qy1,6.52
686,1w1d,6.52
687,1zhy,6.52
688,2h4g,6.52
689,4fiv,6.52
690,1dhj,6.55
691,1hmr,6.55
692,1n4h,6.55
693,1umw,6.55
694,1yc4,6.55
695,1yda,6.55
696,2bok,6.55
697,1sld,6.57
698,2fqy,6.57
699,5er2,6.57
700,1k1i,6.58
701,1b58,6.59
702,1fiv,6.59
703,1izi,6.59
704,1b38,6.6
705,1g7g,6.6
706,1jzs,6.6
707,1vot,6.6
708,2euk,6.6
709,2f7p,6.6
710,1afk,6.62
711,1ii5,6.62
712,1jd5,6.62
713,2j7b,6.62
714,4er1,6.62
715,1sln,6.64
716,2d3z,6.64
717,5abp,6.64
718,2j75,6.65
719,1a4r,6.66
720,1cps,6.66
721,1elc,6.66
722,1o3p,6.66
723,1pxp,6.66
724,1c5x,6.68
725,1mai,6.68
726,2fqw,6.68
727,1b0h,6.7
728,1b3g,6.7
729,1dfo,6.7
730,1eld,6.7
731,1f3e,6.7
732,1hp0,6.7
733,1koj,6.7
734,1qy5,6.7
735,1rdt,6.7
736,1rek,6.7
737,2eum,6.7
738,2evl,6.7
739,3pck,6.7
740,1rbp,6.72
741,3gst,6.72
742,1wvj,6.73
743,1add,6.74
744,1bzh,6.77
745,1o30,6.77
746,1o3j,6.77
747,1o3k,6.77
748,1om1,6.77
749,1ony,6.77
750,1qb1,6.77
751,1fl3,6.8
752,1nq7,6.8
753,1p1n,6.8
754,1drk,6.82
755,1fhd,6.82
756,1jeu,6.82
757,1k1n,6.82
758,1lrh,6.82
759,1o38,6.82
760,1uwf,6.82
761,2c94,6.82
762,1bhx,6.84
763,1bap,6.85
764,1ele,6.85
765,1g30,6.85
766,1lkk,6.85
767,1os5,6.85
768,1tvo,6.85
769,1xk9,6.85
770,1xt8,6.85
771,3aid,6.86
772,1cgl,6.87
773,1xka,6.88
774,1b3f,6.89
775,1fh8,6.89
776,1jev,6.89
777,1sb1,6.89
778,1uz1,6.89
779,2bfq,6.89
780,2dri,6.89
781,2f34,6.89
782,1k1l,6.9
783,1a9m,6.92
784,1b39,6.92
785,1m9n,6.92
786,1o2j,6.92
787,1o2k,6.92
788,1pkx,6.92
789,1swr,6.92
790,2d3u,6.92
791,1tcx,6.95
792,1c5c,6.96
793,1ent,6.96
794,1gj8,6.96
795,1gvw,6.96
796,1oyq,6.96
797,1x8j,6.96
798,1ch8,7.0
799,1fki,7.0
800,1fpc,7.0
801,1gj6,7.0
802,1is0,7.0
803,1tyr,7.0
804,1zoh,7.0
805,2gyi,7.0
806,2j7g,7.0
807,1b1h,7.03
808,2aov,7.04
809,1b5i,7.05
810,2bq7,7.05
811,2jxr,7.05
812,1ui0,7.06
813,1ydd,7.07
814,1xpz,7.08
815,1lpg,7.09
816,2bz6,7.09
817,1b32,7.1
818,2il2,7.1
819,1b05,7.12
820,1b52,7.12
821,1nz7,7.12
822,1xd0,7.12
823,1o3d,7.13
824,2j7d,7.13
825,1elb,7.15
826,1fch,7.15
827,1pxn,7.15
828,1zog,7.15
829,2fqx,7.15
830,1f0u,7.16
831,1g36,7.17
832,1o2h,7.17
833,1fcx,7.19
834,1gi4,7.19
835,1me7,7.19
836,1me8,7.19
837,1q7a,7.19
838,2j7h,7.19
839,1gvx,7.22
840,1sw2,7.22
841,2er6,7.22
842,3pcj,7.22
843,1g2l,7.24
844,1oyt,7.24
845,1jet,7.25
846,2ces,7.25
847,1dhi,7.26
848,1mrx,7.26
849,2f8i,7.26
850,1fdq,7.27
851,1b40,7.28
852,1hii,7.28
853,1kel,7.28
854,2ceq,7.28
855,2cgr,7.28
856,1o3h,7.3
857,1o3i,7.3
858,1sw1,7.3
859,1tmn,7.3
860,2i3i,7.3
861,1qf1,7.32
862,1ydt,7.32
863,2j7e,7.32
864,2j2u,7.33
865,1uw6,7.34
866,2fgi,7.34
867,2gv6,7.34
868,1mhw,7.35
869,1qkb,7.35
870,1ttm,7.35
871,1swg,7.36
872,1b51,7.37
873,1cnx,7.37
874,1fao,7.37
875,1bxq,7.38
876,1qf0,7.38
877,1b11,7.39
878,1d3p,7.39
879,1b55,7.4
880,1drj,7.4
881,1k1m,7.4
882,1oar,7.4
883,1owh,7.4
884,1r6n,7.4
885,1y3g,7.4
886,1zoe,7.4
887,2bpy,7.4
888,2er9,7.4
889,2i3h,7.4
890,1ik4,7.41
891,1t32,7.42
892,1b5j,7.43
893,2bak,7.43
894,1ciz,7.44
895,1qb9,7.44
896,1sc8,7.44
897,1vzq,7.44
898,2f7o,7.44
899,2ccb,7.45
900,1sqo,7.46
901,1yei,7.46
902,1yej,7.46
903,5tmp,7.47
904,1iiq,7.48
905,2qwe,7.48
906,2hh5,7.49
907,1lah,7.52
908,1lf2,7.52
909,1lke,7.52
910,1mmq,7.52
911,2mas,7.52
912,2f1g,7.54
913,1k1j,7.55
914,1lpk,7.55
915,1tlp,7.55
916,1v0l,7.55
917,1vj9,7.55
918,1a0q,7.57
919,1d09,7.57
920,1m13,7.57
921,1q95,7.57
922,1qhc,7.57
923,2avs,7.57
924,2fdp,7.59
925,1bwa,7.6
926,1lpz,7.6
927,1ftm,7.61
928,1fzq,7.62
929,1yqy,7.62
930,2aoe,7.62
931,1c1r,7.63
932,1c1v,7.64
933,1e5a,7.64
934,1uvt,7.64
935,966c,7.64
936,1f0r,7.66
937,1nny,7.66
938,1ppk,7.66
939,5fiv,7.66
940,2bpv,7.67
941,1o2q,7.68
942,1t4v,7.68
943,1w1g,7.68
944,1bai,7.7
945,1fzm,7.7
946,1gno,7.7
947,1izh,7.7
948,1mes,7.7
949,1oz0,7.7
950,1s39,7.7
951,1uou,7.7
952,1vja,7.7
953,2d1o,7.7
954,4tmk,7.7
955,1ajv,7.72
956,1caq,7.72
957,1cnw,7.72
958,1j4r,7.72
959,1oif,7.72
960,2aou,7.73
961,1f0s,7.74
962,1heg,7.74
963,1lee,7.74
964,1nfu,7.74
965,1qbo,7.74
966,1qiw,7.74
967,1rd4,7.74
968,1sbg,7.74
969,1txr,7.74
970,1usn,7.74
971,2adu,7.74
972,2ccc,7.76
973,1xh9,7.77
974,1u1b,7.8
975,1v48,7.8
976,1x8t,7.8
977,1b6h,7.82
978,1nf8,7.82
979,1njs,7.82
980,1nvs,7.82
981,2cf9,7.82
982,2j34,7.82
983,1a94,7.85
984,1b8y,7.85
985,1cny,7.85
986,1jwt,7.85
987,1laf,7.85
988,1lbf,7.85
989,2gv7,7.85
990,1fzo,7.89
991,1gj7,7.89
992,1h2t,7.89
993,1ajx,7.91
994,1b6j,7.92
995,1xd1,7.92
996,2ewa,7.94
997,1epo,7.96
998,1g2k,7.96
999,1hvh,7.96
1000,1o3f,7.96
1001,1a4k,8.0
1002,1apw,8.0
1003,1dqn,8.0
1004,1fkg,8.0
1005,1gaf,8.0
1006,1gai,8.0
1007,1qin,8.0
1008,1r0p,8.0
1009,1tkb,8.0
1010,1vyg,8.0
1011,8abp,8.0
1012,9abp,8.0
1013,2cc7,8.01
1014,1b7h,8.02
1015,2cet,8.02
1016,5tmn,8.04
1017,1hih,8.05
1018,1vyf,8.05
1019,2bqv,8.05
1020,1gni,8.07
1021,1siv,8.08
1022,6fiv,8.08
1023,1erb,8.1
1024,1fzj,8.1
1025,1ghy,8.1
1026,1l6m,8.1
1027,1ody,8.1
1028,1stc,8.1
1029,2cf8,8.1
1030,1ndz,8.11
1031,1nvr,8.11
1032,2arm,8.13
1033,1g35,8.14
1034,1yqj,8.14
1035,1fkh,8.15
1036,1w5v,8.15
1037,2d1n,8.15
1038,2fxu,8.15
1039,2f80,8.18
1040,1owd,8.2
1041,2ff1,8.21
1042,1efy,8.22
1043,1h1d,8.22
1044,1h1s,8.22
1045,2cji,8.22
1046,1ydb,8.24
1047,1c1u,8.25
1048,1g4o,8.25
1049,1nvq,8.25
1050,1b6l,8.3
1051,1qbq,8.3
1052,1rej,8.3
1053,1tom,8.3
1054,2hs2,8.31
1055,1hwr,8.33
1056,1bzy,8.34
1057,1h23,8.35
1058,1mj7,8.35
1059,1k21,8.38
1060,1mu6,8.38
1061,1lzq,8.39
1062,1aaq,8.4
1063,1b6m,8.4
1064,1fd0,8.4
1065,1fq5,8.4
1066,1fzk,8.4
1067,1k22,8.4
1068,1mtr,8.4
1069,1w5x,8.4
1070,1w7x,8.4
1071,1z1h,8.4
1072,1zpa,8.4
1073,2baj,8.4
1074,1e4h,8.41
1075,1g48,8.41
1076,1i9p,8.41
1077,1i9q,8.41
1078,1w96,8.41
1079,1bwb,8.42
1080,1i9o,8.42
1081,1jq9,8.45
1082,1i9l,8.48
1083,1i9m,8.48
1084,1w5y,8.48
1085,2hs1,8.48
1086,2g5u,8.49
1087,2ihq,8.49
1088,7upj,8.49
1089,1fcy,8.52
1090,1i5r,8.52
1091,1nfx,8.52
1092,1rp7,8.52
1093,1ta2,8.52
1094,1xkk,8.52
1095,2boh,8.52
1096,2fvd,8.52
1097,1hos,8.55
1098,1ppl,8.55
1099,2byr,8.55
1100,1bgq,8.57
1101,1q1g,8.57
1102,1g45,8.64
1103,1mue,8.64
1104,1r1j,8.64
1105,1t31,8.64
1106,6std,8.64
1107,1i9n,8.66
1108,1bcd,8.7
1109,1g4j,8.7
1110,1hfs,8.7
1111,1jgl,8.7
1112,1jyq,8.7
1113,1lnm,8.7
1114,1ohr,8.7
1115,1pxo,8.7
1116,1t7j,8.7
1117,1xap,8.7
1118,2b7d,8.7
1119,2f8g,8.7
1120,2h4n,8.7
1121,2pcp,8.7
1122,1cin,8.73
1123,1b6k,8.74
1124,1mjj,8.74
1125,1sdv,8.74
1126,1bnv,8.77
1127,1d4l,8.77
1128,1qft,8.77
1129,1x38,8.77
1130,1zp8,8.77
1131,1fkn,8.8
1132,1g46,8.8
1133,1w5w,8.8
1134,1ork,8.81
1135,1cim,8.82
1136,1g54,8.82
1137,3tlh,8.82
1138,2avo,8.85
1139,1n3i,8.89
1140,1nfy,8.89
1141,1nt1,8.89
1142,1kzn,8.92
1143,1r1h,8.92
1144,1bv9,8.96
1145,1nfw,8.96
1146,1apv,9.0
1147,1fm9,9.0
1148,1mq5,9.0
1149,1mu8,9.0
1150,1wei,9.0
1151,1y0l,9.0
1152,2j4i,9.0
1153,1g53,9.04
1154,1ezq,9.05
1155,1kdk,9.05
1156,1pbk,9.05
1157,1s63,9.05
1158,1nw4,9.07
1159,1bnw,9.08
1160,1d3d,9.09
1161,1msn,9.09
1162,1h22,9.1
1163,1d9i,9.11
1164,1ta6,9.13
1165,8cpa,9.15
1166,1z71,9.18
1167,2fgu,9.18
1168,1mh5,9.21
1169,1sqa,9.21
1170,1d4k,9.22
1171,1fcz,9.22
1172,1hpo,9.22
1173,1hps,9.22
1174,1hpv,9.22
1175,1uho,9.22
1176,1x39,9.22
1177,1z1r,9.22
1178,1zvx,9.22
1179,2cer,9.22
1180,1db1,9.26
1181,2avv,9.26
1182,1sdt,9.27
1183,830c,9.28
1184,2ayr,9.29
1185,1bv7,9.3
1186,1udt,9.3
1187,4er2,9.3
1188,1bn4,9.31
1189,2aqu,9.32
1190,1bn1,9.34
1191,1fkf,9.4
1192,1ksn,9.4
1193,1met,9.4
1194,1pme,9.4
1195,1sqn,9.4
1196,1hsh,9.42
1197,1cil,9.43
1198,1g1d,9.44
1199,1qbs,9.47
1200,1xjd,9.48
1201,1bnq,9.49
1202,1hvr,9.51
1203,1m4h,9.52
1204,1re8,9.52
1205,2bys,9.52
1206,2g94,9.52
1207,2gvj,9.52
1208,1g52,9.54
1209,1dmp,9.55
1210,1ws1,9.55
1211,1o86,9.57
1212,7hvp,9.62
1213,1if8,9.64
1214,1a7x,9.7
1215,1bnu,9.7
1216,1df8,9.7
1217,1fkb,9.7
1218,1mrw,9.7
1219,1z6e,9.72
1220,2i0g,9.72
1221,1nh0,9.74
1222,2g00,9.74
1223,456c,9.77
1224,1bnt,9.8
1225,1pvn,9.82
1226,1zsr,9.82
1227,2std,9.85
1228,1a42,9.89
1229,1bn3,9.89
1230,1e66,9.89
1231,2drc,9.89
1232,1hxb,9.92
1233,1zsf,9.92
1234,1hvl,9.95
1235,1fjs,9.96
1236,1bnn,10.0
1237,1bxo,10.0
1238,1flr,10.0
1239,1gar,10.0
1240,1igj,10.0
1241,1n4k,10.05
1242,1nm6,10.05
1243,1sdu,10.07
1244,1sr7,10.1
1245,1y6r,10.11
1246,4tmn,10.17
1247,1xzx,10.22
1248,1qbu,10.24
1249,1c70,10.3
1250,1hvs,10.3
1251,4std,10.33
1252,1c4u,10.37
1253,1kzk,10.39
1254,1msm,10.48
1255,5std,10.49
1256,1b8n,10.52
1257,1if7,10.52
1258,1n46,10.52
1259,2f81,10.52
1260,2fzz,10.52
1261,1g2o,10.55
1262,1qbr,10.57
1263,1qbt,10.62
1264,1b8o,10.64
1265,1dif,10.66
1266,7std,10.72
1267,1c4v,10.8
1268,1hxw,10.82
1269,1hvi,10.92
1270,1hvk,10.96
1271,1m7y,10.96
1272,1dqx,11.05
1273,1q84,11.05
1274,1eix,11.06
1275,1lor,11.06
1276,1x1z,11.06
1277,1d4y,11.1
1278,3std,11.11
1279,1mq6,11.15
1280,1hpx,11.26
1281,1pro,11.3
1282,2hb3,11.35
1283,1hvj,11.4
