,PDBID,pK
408,1kug,3.80
409,1li6,3.80
410,1nje,3.80
411,2hb1,3.80
412,3t09,3.80
413,4ajl,3.80
414,2hu6,3.81
415,3ai8,3.81
416,1hn4,3.82
417,3g2h,3.82
418,4aba,3.82
419,4bks,3.82
420,4keq,3.82
421,4mmm,3.82
422,1j16,3.84
423,1utj,3.84
424,3lzz,3.84
425,2wzs,3.85
426,2yb0,3.85
427,3mv0,3.85
428,4kiu,3.85
429,3lbz,3.86
430,3spf,3.86
431,4i9u,3.86
432,1aj7,3.87
433,1v16,3.87
434,3g2l,3.87
435,3w5n,3.87
436,3wjw,3.87
437,4nbk,3.87
438,3si4,3.88
439,4mjp,3.88
440,1m0q,3.89
441,2ctc,3.89
442,3iae,3.89
443,3obx,3.89
444,3umo,3.89
445,4aj4,3.89
446,4nl1,3.89
447,1avn,3.90
448,2gvv,3.90
449,2qw1,3.90
450,2rkm,3.90
451,2vhj,3.90
452,2vuk,3.90
453,2wor,3.90
454,2wos,3.90
455,2xpc,3.90
456,4n9c,3.90
457,4qgi,3.90
458,1kuk,3.91
459,1pr5,3.92
460,3ap4,3.92
461,3twp,3.92
462,1h5v,3.93
463,2a5b,3.93
464,2cbz,3.93
465,1v1m,3.94
466,2v3d,3.94
467,4bi6,3.95
468,1mrs,3.96
469,2fpz,3.96
470,2wec,3.96
471,3c39,3.96
472,3gt9,3.96
473,4gqr,3.96
474,4agn,3.97
475,4ibg,3.97
476,1v11,3.98
477,3b3c,3.98
478,4agm,3.98
479,1rpf,3.99
480,2g8r,3.99
481,4i7l,3.99
482,1e5j,4.00
483,1lgw,4.00
484,1nu3,4.00
485,1tni,4.00
486,1wc1,4.00
487,2buv,4.00
488,2ot1,4.00
489,2qrl,4.00
490,2rin,4.00
491,2whp,4.00
492,3a1c,4.00
493,3ijh,4.00
494,3m8t,4.00
495,3vd9,4.00
496,4umb,4.00
497,1c5z,4.01
498,1v2w,4.01
499,3fzn,4.01
500,2wvz,4.02
501,3po1,4.02
502,2q8m,4.03
503,2qrm,4.03
504,2x96,4.03
505,3bxh,4.03
506,3nq9,4.03
507,4msn,4.03
508,1hi5,4.04
509,1li2,4.04
510,1r4w,4.05
511,1toi,4.05
512,1tuf,4.05
513,2w66,4.05
514,3fjz,4.05
515,3n8k,4.05
516,3qx9,4.05
517,2clh,4.06
518,3m3c,4.06
519,8a3h,4.06
520,1hyo,4.07
521,2v2v,4.07
522,2rke,4.08
523,2z1w,4.08
524,3kwa,4.08
525,1ai7,4.09
526,1o0n,4.09
527,2v88,4.09
528,3g2n,4.09
529,4b9z,4.09
530,4fxp,4.09
531,1c5t,4.10
532,1odj,4.10
533,2bvs,4.10
534,3gk1,4.10
535,3iod,4.10
536,1p19,4.11
537,2exm,4.11
538,3d6o,4.11
539,3oyw,4.11
540,3v4t,4.11
541,4ih5,4.11
542,3a1d,4.12
543,3ivc,4.12
544,3mam,4.12
545,4de2,4.12
546,4kxb,4.12
547,4whs,4.12
548,3ozt,4.13
549,3qto,4.13
550,4i7m,4.14
551,4ibi,4.14
552,1m2x,4.15
553,1q91,4.15
554,2v2q,4.15
555,2vt3,4.15
556,2xg9,4.15
557,3a9i,4.15
558,3c8e,4.15
559,3d51,4.15
560,3sur,4.15
561,3sus,4.15
562,4abh,4.15
563,4ibe,4.15
564,4kz4,4.15
565,3si3,4.16
566,4jkw,4.16
567,1v2s,4.17
568,3qfd,4.17
569,4oma,4.17
570,2qfu,4.18
571,3q2j,4.18
572,1hi3,4.19
573,3b3w,4.19
574,3cft,4.19
575,3cr5,4.19
576,3f3a,4.19
577,3sv2,4.19
578,4n9a,4.19
579,4nra,4.19
580,1c5y,4.20
581,1c87,4.20
582,1ghw,4.20
583,1n3z,4.20
584,2r2b,4.20
585,3djp,4.20
586,3qx5,4.20
587,1odi,4.21
588,1qk4,4.21
589,4bqs,4.21
590,1kv5,4.22
591,1pzi,4.22
592,1t5f,4.22
593,1ua4,4.22
594,3f80,4.22
595,3kyq,4.22
596,4gny,4.22
597,4mo4,4.22
598,4oak,4.22
599,2jke,4.23
600,2jkp,4.23
601,3zqe,4.23
602,2bes,4.24
603,3h78,4.24
604,1li3,4.25
605,2qrk,4.26
606,3qwc,4.26
607,1m5w,4.27
608,2vzr,4.28
609,3f5j,4.28
610,3gta,4.28
611,3jrs,4.28
612,1e2l,4.29
613,1v2l,4.29
614,2wuf,4.29
615,4i3z,4.29
616,1a30,4.30
617,1amk,4.30
618,1det,4.30
619,1w3k,4.30
620,2cli,4.30
621,2q7y,4.30
622,3ivg,4.30
623,3moe,4.30
624,3obu,4.30
625,3t0b,4.30
626,3upk,4.30
627,4eoh,4.30
628,4ibk,4.30
629,4jc1,4.30
630,4k7o,4.30
631,4o61,4.30
632,1ajq,4.31
633,2tpi,4.31
634,4kow,4.31
635,2ha6,4.32
636,2qtt,4.32
637,4rsk,4.32
638,4u43,4.32
639,1olx,4.33
640,3l7a,4.33
641,4ibj,4.33
642,4ijh,4.33
643,1e3v,4.34
644,1z6s,4.34
645,2ha5,4.34
646,1ghv,4.35
647,1sv3,4.35
648,1yfz,4.35
649,4owv,4.35
650,1dy4,4.36
651,2ez7,4.36
652,3rsr,4.36
653,4nbn,4.36
654,1td7,4.37
655,4gu9,4.37
656,1bhf,4.38
657,3b24,4.38
658,3guz,4.38
659,3u9q,4.38
660,2avq,4.39
661,2hjb,4.39
662,3djo,4.39
663,1p57,4.40
664,2pwd,4.40
665,3jzg,4.40
666,3wgg,4.40
667,4abd,4.40
668,4dy6,4.40
669,4pp0,4.40
670,1no6,4.41
671,1olu,4.41
672,2csn,4.41
673,2ypp,4.41
674,3rsx,4.41
675,3uxd,4.41
676,4exs,4.41
677,4ou3,4.41
678,1tjp,4.42
679,3dri,4.42
680,4cc5,4.42
681,4ek9,4.42
682,2pu2,4.43
683,2we3,4.43
684,2wyf,4.43
685,3kqr,4.43
686,3m3e,4.43
687,3pxf,4.43
688,4axd,4.43
689,4dsy,4.43
690,4ibf,4.43
691,4jpy,4.43
692,4kcx,4.43
693,2amt,4.44
694,3u81,4.44
695,2wbg,4.45
696,4gki,4.46
697,4i8n,4.46
698,2r2w,4.47
699,3hl5,4.47
700,4cu8,4.47
701,1jaq,4.48
702,1qan,4.48
703,2ogy,4.48
704,3p17,4.48
705,3t01,4.48
706,4dhl,4.48
707,4oks,4.48
708,1hi4,4.49
709,1j14,4.49
710,1o7o,4.49
711,3hl8,4.49
712,3kmy,4.49
713,4cwf,4.49
714,4el0,4.49
715,2eg8,4.50
716,3n7h,4.50
717,3sw8,4.50
718,1gi7,4.51
719,2r1y,4.51
720,3aas,4.51
721,3uug,4.51
722,4abb,4.51
723,4g90,4.51
724,1ctt,4.52
725,1gu1,4.52
726,1mrn,4.52
727,1z4o,4.52
728,2a4m,4.52
729,2ra6,4.52
730,2wm0,4.52
731,3bzf,4.52
732,3gy7,4.52
733,3r6u,4.52
734,4gzw,4.52
735,3h30,4.53
736,1amw,4.54
737,1b2h,4.54
738,1lyx,4.54
739,1szd,4.54
740,2zz1,4.54
741,2zz2,4.54
742,3iub,4.54
743,4b76,4.54
744,3b2q,4.55
745,3djv,4.55
746,3p8p,4.55
747,3ppq,4.55
748,3rr4,4.55
749,3suv,4.55
750,4myd,4.55
751,3sym,4.57
752,4fp1,4.57
753,4bi7,4.58
754,1bma,4.59
755,2ihj,4.59
756,2jiw,4.59
757,3f3t,4.59
758,3hp9,4.59
759,3ujc,4.59
760,4c6u,4.59
761,4g8y,4.59
762,4j74,4.59
763,1pa9,4.60
764,1tx7,4.60
765,1u33,4.60
766,1upf,4.60
767,2pyy,4.60
768,2v54,4.60
769,2vb8,4.60
770,2vba,4.60
771,2wlz,4.60
772,2x0y,4.60
773,3d7k,4.60
774,3vhk,4.60
775,4bc5,4.60
776,4jal,4.60
777,4p58,4.60
778,2bo4,4.61
779,3lgs,4.61
780,4io4,4.61
781,4ocq,4.61
782,1f4f,4.62
783,2a5c,4.62
784,2f6t,4.62
785,2xm2,4.62
786,3f5k,4.62
787,3tk2,4.62
788,3u90,4.62
789,3umq,4.62
790,4abf,4.62
791,4ad3,4.62
792,3uj9,4.63
793,4hzm,4.63
794,4psb,4.64
795,3qtv,4.65
796,4q93,4.65
797,4w9c,4.65
798,1bzj,4.66
799,1h4w,4.66
800,1m1b,4.66
801,2ca8,4.66
802,2ha2,4.66
803,3ddf,4.66
804,3mss,4.66
805,4tt2,4.66
806,3vw1,4.67
807,4gkh,4.67
808,4nku,4.67
809,1c5p,4.68
810,1wn6,4.68
811,1xge,4.68
812,2nsl,4.68
813,2uy4,4.68
814,2ypo,4.68
815,3g35,4.68
816,4lar,4.68
817,2rio,4.69
818,3ujd,4.69
819,4agp,4.69
820,4mgd,4.69
821,4tpw,4.69
822,1c5n,4.70
823,1c86,4.70
824,2cex,4.70
825,2dw7,4.70
826,2fu8,4.70
827,2i2c,4.70
828,2qfo,4.70
829,3k5i,4.70
830,3kiv,4.70
831,3nkk,4.70
832,3suw,4.70
833,4j7d,4.70
834,4j93,4.70
835,4luz,4.70
836,4lzr,4.70
837,1v2t,4.71
838,2qrh,4.71
839,3ny3,4.71
840,4ljh,4.71
841,184l,4.72
842,1vso,4.72
843,3ebo,4.72
844,3f6g,4.72
845,3r6c,4.72
846,1v2o,4.73
847,4ayu,4.73
848,1bty,4.74
849,1w4p,4.74
850,2e2p,4.74
851,2ov4,4.74
852,3dnt,4.74
853,3f3u,4.74
854,3lcv,4.74
855,4ih6,4.74
856,4jxs,4.74
857,4kyk,4.74
858,3g2j,4.75
859,3nim,4.75
860,3vw2,4.75
861,1q8t,4.76
862,3acw,4.76
863,3o5n,4.76
864,1str,4.77
865,2afw,4.77
866,2b4l,4.77
867,3d50,4.77
868,3iqu,4.77
869,3rm9,4.77
870,4kax,4.77
871,4uoh,4.77
872,4ad6,4.78
873,1oss,4.79
874,2nsj,4.79
875,3eb1,4.79
876,3g2k,4.79
877,1bju,4.80
878,1ghz,4.80
879,2nta,4.80
880,3bpc,4.80
881,3dnd,4.80
882,4aq6,4.80
883,4llp,4.80
884,4lzs,4.80
885,4pb2,4.80
886,4ago,4.81
887,1aid,4.82
888,1dud,4.82
889,1f8e,4.82
890,1v1j,4.82
891,1xff,4.82
892,1y3p,4.82
893,2gl0,4.82
894,2gzl,4.82
895,2pwg,4.82
896,2ypi,4.82
897,3kmx,4.82
898,3r88,4.82
899,3vd4,4.82
900,4ciw,4.82
901,4fys,4.82
902,4ih3,4.82
903,4io6,4.82
904,4kwf,4.82
905,3a1s,4.83
906,3r0y,4.84
907,3vvy,4.84
908,4kif,4.84
909,4uof,4.84
910,186l,4.85
911,1c83,4.85
912,1ecv,4.85
913,1n51,4.85
914,1qji,4.85
915,1xgi,4.85
916,2qwd,4.85
917,2r9x,4.85
918,2w4x,4.85
919,3cj2,4.85
920,3f70,4.85
921,3ohi,4.85
922,3qnd,4.85
923,3ru1,4.85
924,3zyf,4.85
925,4hpi,4.85
926,4iic,4.85
927,4j7e,4.85
928,2brb,4.86
929,3g2i,4.86
930,4ipj,4.87
931,4q0k,4.87
932,3exh,4.88
933,3lp4,4.88
934,3pju,4.88
935,1p1q,4.89
936,2aoc,4.89
937,2j77,4.89
938,2vo5,4.89
939,3d4z,4.89
940,3juk,4.89
941,3m8u,4.89
942,3njq,4.89
943,4cd1,4.89
944,4l9i,4.89
945,3cf8,4.90
946,1km3,4.91
947,3juq,4.91
948,3rdv,4.91
949,1bzc,4.92
950,1e1v,4.92
951,1jqy,4.92
952,2haw,4.92
953,3eax,4.92
954,3rv8,4.92
955,4j47,4.92
956,3uxk,4.93
957,4ido,4.93
958,1e2k,4.94
959,2gss,4.94
960,2vo4,4.94
961,2vpe,4.94
962,4dmw,4.94
963,4ts1,4.94
964,1jn4,4.95
965,2x95,4.95
966,4bup,4.95
967,1dar,4.96
968,1elr,4.96
969,1o5g,4.96
970,1tsy,4.96
971,1uz8,4.96
972,2vjx,4.96
973,2w67,4.96
974,3bxg,4.96
975,3lbj,4.96
976,3veh,4.96
977,3zsq,4.96
978,4jsa,4.96
979,3qbc,4.97
980,4e3g,4.97
981,4in9,4.97
982,2w47,4.98
983,4w9d,4.99
984,1byk,5.00
985,1c84,5.00
986,1hlk,5.00
987,1nc3,5.00
988,1o35,5.00
989,1ql7,5.00
990,1sbr,5.00
991,2oiq,5.00
992,2oym,5.00
993,2vxn,5.00
994,3cfn,5.00
995,3gbe,5.00
996,3k02,5.00
997,3p9m,5.00
998,1ppi,5.01
999,2glp,5.01
1000,4agq,5.01
1001,4dds,5.01
1002,4u4x,5.01
1003,2d0k,5.02
1004,2xbp,5.02
1005,3bgc,5.02
1006,3usx,5.02
1007,4w9l,5.02
1008,1i1e,5.03
1009,4io5,5.03
1010,4np9,5.03
1011,1mfa,5.04
1012,3tz0,5.04
1013,4jym,5.04
1014,4lk7,5.04
1015,1dgm,5.05
1016,1fkw,5.05
1017,1qxk,5.05
1018,3aau,5.05
1019,3s76,5.05
1020,4euo,5.05
1021,4oct,5.05
1022,4rqv,5.05
1023,2v77,5.06
1024,2yge,5.06
1025,3f68,5.06
1026,4h7q,5.06
1027,2c3l,5.07
1028,2xm1,5.07
1029,2yfa,5.07
1030,3juo,5.07
1031,1enu,5.08
1032,1gfy,5.08
1033,2qtg,5.08
1034,3qyy,5.08
1035,3tb6,5.08
1036,1m48,5.09
1037,1nw7,5.09
1038,2ygf,5.09
1039,1ez9,5.10
1040,1kmy,5.10
1041,1od8,5.10
1042,1onz,5.10
1043,1v0k,5.10
1044,1w7g,5.10
1045,2h5a,5.10
1046,2qrq,5.10
1047,2r9w,5.10
1048,3gy4,5.10
1049,3p4v,5.10
1050,3syr,5.10
1051,3ujb,5.10
1052,4dcs,5.10
1053,1k4h,5.11
1054,1yp9,5.11
1055,3k4d,5.11
1056,3ozj,5.11
1057,1qaw,5.12
1058,1uv6,5.12
1059,2web,5.12
1060,3zso,5.12
1061,4f1l,5.12
1062,4h81,5.12
1063,1gcz,5.13
1064,3s9e,5.13
1065,1y3x,5.14
1066,2br1,5.14
1067,2yaz,5.14
1068,3tao,5.14
1069,4ejl,5.14
1070,1jcx,5.15
1071,1jvu,5.15
1072,1o0m,5.15
1073,1pb8,5.15
1074,1qk3,5.15
1075,1s38,5.15
1076,1thz,5.15
1077,2afx,5.15
1078,3ozr,5.15
1079,4h85,5.15
1080,4jpx,5.15
1081,3b27,5.16
1082,2zfp,5.17
1083,3b7j,5.17
1084,4gkm,5.17
1085,1ft7,5.18
1086,2qrg,5.18
1087,3w37,5.18
1088,4duh,5.18
1089,4iif,5.18
1090,1ocq,5.19
1091,1ogg,5.19
1092,1oxr,5.19
1093,1rnt,5.19
1094,2qdt,5.19
1095,4ezz,5.19
1096,4m0z,5.19
1097,3ov1,5.20
1098,3uu1,5.20
1099,4a6s,5.20
1100,4ezr,5.20
1101,1nw5,5.21
1102,1o2r,5.21
1103,4cwo,5.21
1104,4few,5.21
1105,4je8,5.21
1106,4m0r,5.21
1107,1bq4,5.22
1108,1gjd,5.22
1109,1j17,5.22
1110,1o5c,5.22
1111,1ucn,5.22
1112,1w4o,5.22
1113,1zea,5.22
1114,2gz2,5.22
1115,2hxm,5.22
1116,2wzm,5.22
1117,2zxd,5.22
1118,3dne,5.22
1119,3iof,5.22
1120,3lq2,5.22
1121,3ms9,5.22
1122,3n1c,5.22
1123,3ppp,5.22
1124,3q71,5.22
1125,3qxt,5.22
1126,4lrr,5.22
1127,1b4z,5.23
1128,1ndw,5.23
1129,2q38,5.23
1130,3lc3,5.23
1131,1fh7,5.24
1132,1q8w,5.24
1133,1s89,5.24
1134,2jfz,5.24
1135,3pb8,5.24
1136,3ueu,5.24
1137,4gue,5.24
1138,4idn,5.24
1139,4ih7,5.24
1140,4non,5.24
1141,2bfr,5.25
1142,3r24,5.25
1143,1w4q,5.26
1144,2qft,5.26
1145,3n9s,5.26
1146,2x7u,5.27
1147,3tkw,5.27
1148,4jfs,5.27
1149,1b46,5.28
1150,1f5l,5.28
1151,3bbf,5.28
1152,3o5x,5.28
1153,4e70,5.28
1154,4j46,5.28
1155,1c88,5.29
1156,2wc4,5.29
1157,1a69,5.30
1158,1h6h,5.30
1159,1o0f,5.30
1160,1srg,5.30
1161,2q7q,5.30
1162,2vk6,5.30
1163,3gpo,5.30
1164,3p9l,5.30
1165,3pgl,5.30
1166,3upv,5.30
1167,1hk4,5.31
1168,1mfd,5.31
1169,1lvu,5.32
1170,1y20,5.32
1171,4ipi,5.32
1172,4us3,5.32
1173,2c80,5.33
1174,3arx,5.33
1175,3ozs,5.33
1176,3q1x,5.33
1177,1hee,5.34
1178,1zgi,5.34
1179,3efs,5.34
1180,3hkq,5.34
1181,3k4q,5.34
1182,3nee,5.34
1183,1ql9,5.35
1184,2fxv,5.35
1185,2gkl,5.35
1186,3hkn,5.35
1187,1adl,5.36
1188,3bv9,5.36
1189,3ldq,5.36
1190,3mf5,5.36
1191,1gpk,5.37
1192,1sgu,5.37
1193,3qt6,5.37
1194,4el5,5.37
1195,1g3e,5.38
1196,2qhd,5.38
1197,3e85,5.38
1198,3tif,5.38
1199,4f7v,5.38
1200,1qbv,5.39
1201,2h6b,5.39
1202,3hkt,5.39
1203,3m1k,5.39
1204,4ej8,5.39
1205,1bp0,5.40
1206,1f8b,5.40
1207,1m7i,5.40
1208,1mmr,5.40
1209,1pz5,5.40
1210,1r9l,5.40
1211,1trd,5.40
1212,2c1p,5.40
1213,2f35,5.40
1214,2i80,5.40
1215,2jdm,5.40
1216,2qg2,5.40
1217,3arr,5.40
1218,3b4p,5.40
1219,3l6h,5.40
1220,4c5d,5.40
1221,4ij1,5.40
1222,4m3p,5.40
1223,4ozj,5.40
1224,4pin,5.40
1225,2j47,5.41
1226,4tun,5.41
1227,4uma,5.41
1228,1gja,5.42
1229,2vpo,5.42
1230,4fev,5.42
1231,4nxv,5.42
1232,3ng4,5.43
1233,4f5y,5.43
1234,4pox,5.43
1235,1h0a,5.44
1236,1syi,5.44
1237,2q6f,5.44
1238,2wr8,5.44
1239,3lp7,5.44
1240,3u10,5.44
1241,4dju,5.44
1242,2iko,5.45
1243,3mi3,5.45
1244,1b4h,5.46
1245,1q65,5.46
1246,1g7f,5.47
1247,1gi1,5.47
1248,1xh5,5.47
1249,2hf8,5.47
1250,2r0z,5.47
1251,2xde,5.47
1252,2y7p,5.47
1253,4n6g,5.47
1254,4n7m,5.47
1255,1g85,5.48
1256,2cbv,5.48
1257,2zkj,5.48
1258,3bxe,5.48
1259,3iw6,5.48
1260,3zdv,5.48
1261,4jfm,5.48
1262,4kp8,5.48
1263,4pf5,5.48
1264,1pot,5.49
1265,1pyn,5.49
1266,1tys,5.49
1267,2h4k,5.49
1268,2o0u,5.49
1269,2uy5,5.49
1270,3bvb,5.49
1271,3ga5,5.49
1272,3hmp,5.49
1273,3i73,5.49
1274,4w9f,5.49
1275,3tza,5.50
1276,2wqp,5.51
1277,3da9,5.51
1278,3kgt,5.51
1279,4k55,5.51
1280,4qxo,5.51
1281,1a8i,5.52
1282,1kc7,5.52
